Region,loan_id,channel,PartnerID,SalesManagerID,Category,principal,loan_amount,productTenure,IRR,collection_due_bucket,disbursed_date,installment_due,installment_number,emi_due_date,emi_paid_date,cibil_score,cnt_30p_last_3m_all,enq_3m,enq_6m,utilization,abb_90d,principaloutstandingamt,principalPaid,emipaidamt,avrg_amt_credit_3m_monthly
Bali,25693642,Channel-A,9,90,Nach,1474800,40000000,48,29,M0,8/30/2023,2114800,1,10/5/2023,10/5/2023,731,0,24,40,0.837201,19515000,38525200,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1344300,40000000,48,29,M0,8/30/2023,2114800,2,11/4/2023,11/4/2023,731,0,24,40,0.837201,19515000,37180900,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1371200,40000000,48,29,M0,8/30/2023,2114800,3,12/5/2023,12/5/2023,731,0,24,40,0.837201,19515000,35809700,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1398600,40000000,48,29,M0,8/30/2023,2114800,4,1/4/2024,1/4/2024,731,0,24,40,0.837201,19515000,34411100,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1426600,40000000,48,29,M0,8/30/2023,2114800,5,2/4/2024,2/4/2024,731,0,24,40,0.837201,19515000,32984500,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1455100,40000000,48,29,M0,8/30/2023,2114800,6,3/6/2024,3/6/2024,731,0,24,40,0.837201,19515000,31529400,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1484200,40000000,48,29,M0,8/30/2023,2114800,7,4/4/2024,4/4/2024,731,0,24,40,0.837201,19515000,30045200,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1513900,40000000,48,29,M0,8/30/2023,2114800,8,5/5/2024,5/5/2024,731,0,24,40,0.837201,19515000,28531300,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1544200,40000000,48,29,M0,8/30/2023,2114800,9,6/4/2024,6/4/2024,731,0,24,40,0.837201,19515000,26987100,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1575100,40000000,48,29,M0,8/30/2023,2114800,10,7/5/2024,7/5/2024,731,0,24,40,0.837201,19515000,25412000,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1606600,40000000,48,29,M0,8/30/2023,2114800,11,8/4/2024,8/4/2024,731,0,24,40,0.837201,19515000,23805400,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1638700,40000000,48,29,M0,8/30/2023,2114800,12,9/4/2024,9/4/2024,731,0,24,40,0.837201,19515000,22166700,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1671500,40000000,48,29,M0,8/30/2023,2114800,13,10/5/2024,10/5/2024,731,0,24,40,0.837201,19515000,20495200,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1704900,40000000,48,29,M0,8/30/2023,2114800,14,11/4/2024,11/4/2024,731,0,24,40,0.837201,19515000,18790300,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1739000,40000000,48,29,M0,8/30/2023,2114800,15,12/5/2024,12/5/2024,731,0,24,40,0.837201,19515000,17051300,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1773800,40000000,48,29,M0,8/30/2023,2114800,16,1/4/2025,1/4/2025,731,0,24,40,0.837201,19515000,15277500,24722500,2114800,62820555
Bali,25693642,Channel-A,9,90,Nach,1809200,40000000,48,29,NULL,8/30/2023,2114800,17,2/4/2025,NULL,731,0,24,40,0.837201,19515000,NULL,24722500,0,62820555
Bali,25693645,Channel-A,9,180,Nach,961600,50000000,60,29,M0,9/6/2023,2328300,1,11/4/2023,11/4/2023,725,0,1,2,0.921383,84236700,49038400,15360500,2328300,73316066.67
Bali,25693645,Channel-A,9,180,Nach,980800,50000000,60,29,M0,9/6/2023,1961600,2,12/5/2023,12/5/2023,725,0,1,2,0.921383,84236700,48057600,15360500,1961600,73316066.67
Bali,25693645,Channel-A,9,180,Nach,1000400,50000000,60,29,M0,9/6/2023,1961600,3,1/4/2024,1/4/2024,725,0,1,2,0.921383,84236700,47057200,15360500,1961600,73316066.67
Bali,25693645,Channel-A,9,180,Nach,1020500,50000000,60,29,M1,9/6/2023,1961600,4,2/4/2024,2/10/2024,725,0,1,2,0.921383,84236700,47057200,15360500,2009900,73316066.67
Bali,25693645,Channel-A,9,180,Nach,1040900,50000000,60,29,M1,9/6/2023,1961600,5,3/6/2024,3/13/2024,725,0,1,2,0.921383,84236700,46036700,15360500,2011600,73316066.67
Bali,25693645,Channel-A,9,180,Nach,1061700,50000000,60,29,M1,9/6/2023,1961600,6,4/4/2024,4/21/2024,725,0,1,2,0.921383,84236700,44995800,15360500,2027200,73316066.67
Bali,25693645,Channel-A,9,180,Nach,1082900,50000000,60,29,M1,9/6/2023,1961600,7,5/5/2024,5/18/2024,725,0,1,2,0.921383,84236700,43934100,15360500,2022400,73316066.67
